FINCoS,Performance,Log,File.,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Thu,Aug,27,17:43:49,CEST,2020],to,[Thu,Aug,27,17:45:28,CEST,2020]
log,file(s).,,,,,,,,,,,,,
Timestamp,Server,,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,
1598543106000,Siddhi,(Sample),Prueba(output),387753,4000,758000,758000,19,0,8152,121,10,,
1598543107000,Siddhi,(Sample),Prueba(output),392410,4000,758000,751000,19,0,8152,120,8,,
1598543108000,Siddhi,(Sample),Prueba(output),397861,4000,823000,823000,18,0,8152,118,14,,
1598543109000,Siddhi,(Sample),Prueba(output),402850,4000,823000,797000,18,0,8152,119,5,,
1598543110000,Siddhi,(Sample),Prueba(output),407679,4000,823000,794000,18,0,8152,117,1,,
1598543111000,Siddhi,(Sample),Prueba(output),412707,4000,823000,820000,18,0,8152,116,34,,
1598543112000,Siddhi,(Sample),Prueba(output),417590,4000,823000,818000,18,0,8152,116,1,,
1598543113000,Siddhi,(Sample),Prueba(output),422845,4000,859000,859000,17,0,8152,114,5,,
1598543114000,Siddhi,(Sample),Prueba(output),427835,4000,859000,847000,17,0,8152,113,5,,
1598543115000,Siddhi,(Sample),Prueba(output),432849,4000,859000,859000,17,0,8152,112,6,,
1598543116000,Siddhi,(Sample),Prueba(output),437839,4000,867000,867000,17,0,8152,111,10,,
1598543117000,Siddhi,(Sample),Prueba(output),442830,4000,877000,877000,16,0,8152,111,8,,
1598543118000,Siddhi,(Sample),Prueba(output),447820,4000,887000,887000,16,0,8152,109,7,,
1598543119000,Siddhi,(Sample),Prueba(output),452833,4000,899000,899000,16,0,8152,108,6,,
1598543120000,Siddhi,(Sample),Prueba(output),457516,4000,899000,879000,16,0,8152,107,1,,
1598543121000,Siddhi,(Sample),Prueba(output),462663,4000,931000,931000,16,0,9928,116,1,,
1598543122000,Siddhi,(Sample),Prueba(output),467753,4000,936000,936000,16,0,9928,120,14,,
1598543123000,Siddhi,(Sample),Prueba(output),472798,4000,942000,942000,16,0,9928,119,5,,
1598543124000,Siddhi,(Sample),Prueba(output),477758,4000,944000,944000,16,0,9928,119,11,,
1598543125000,Siddhi,(Sample),Prueba(output),482802,4000,962000,962000,15,0,9928,117,4,,
1598543126000,Siddhi,(Sample),Prueba(output),487773,4000,965000,965000,15,0,9928,123,8,,
1598543127000,Siddhi,(Sample),Prueba(output),492571,4000,965000,958000,15,0,9928,123,1,,
1598543128000,Siddhi,(Sample),Prueba(output),497758,4000,1006000,1006000,15,0,9928,121,7,,
