FINCoS,Performance,Log,File.,,,,,,,,,,,,,
Generated,from:,,,,,,,,,,,,,,,
,/Users/ares161/eclipse-workspace/TFM FINCoS/log/SINK02.log,[Tue,Jun,16,21:08:09,CEST,2020],to,[Tue,Jun,16,21:09:48,CEST,2020],,
log,file(s).,,,,,,,,,,,,,,,
Timestamp,Server,Stream,Avg_Throughput,Min_Throughput,Max_Throughput,Last_Throughput,Avg_RT,Min_RT,Max_RT,Stdev_RT,Last_RT,,,,Timestamp,Avg_RT
1592334495000,Esper,(sample),Prueba2(output),81000,30000,132000,132000,0,"9,22337203685478E+021",0,0,8,,,1592334495000,132000
1592334496000,Esper,(sample),Prueba2(output),90857,30000,150000,150000,0,"9,22337203685478E+021",0,0,0,,,1592334496000,150000
1592334497000,Esper,(sample),Prueba2(output),101000,30000,172000,172000,0,"9,22337203685478E+021",0,0,6,,,1592334497000,172000
1592334498000,Esper,(sample),Prueba2(output),110889,30000,190000,190000,0,"9,22337203685478E+021",0,0,0,,,1592334498000,190000
1592334499000,Esper,(sample),Prueba2(output),121000,30000,212000,212000,0,"9,22337203685478E+021",0,0,16,,,1592334499000,212000
1592334500000,Esper,(sample),Prueba2(output),130909,30000,230000,230000,0,"9,22337203685478E+021",0,0,0,,,1592334500000,230000
1592334501000,Esper,(sample),Prueba2(output),141000,30000,252000,252000,0,"9,22337203685478E+021",0,0,8,,,1592334501000,252000
1592334502000,Esper,(sample),Prueba2(output),150923,30000,270000,270000,0,"9,22337203685478E+021",0,0,0,,,1592334502000,270000
1592334503000,Esper,(sample),Prueba2(output),161000,30000,292000,292000,0,"9,22337203685478E+021",0,0,9,,,1592334503000,292000
1592334504000,Esper,(sample),Prueba2(output),170933,30000,310000,310000,0,"9,22337203685478E+021",0,0,0,,,1592334504000,310000
1592334505000,Esper,(sample),Prueba2(output),181000,30000,332000,332000,0,"9,22337203685478E+021",0,0,160,,,1592334505000,332000
1592334506000,Esper,(sample),Prueba2(output),190941,30000,350000,350000,0,"9,22337203685478E+021",0,0,0,,,1592334506000,350000
1592334507000,Esper,(sample),Prueba2(output),200889,30000,370000,370000,0,"9,22337203685478E+021",0,0,6,,,1592334507000,370000
1592334508000,Esper,(sample),Prueba2(output),210947,30000,392000,392000,0,"9,22337203685478E+021",0,0,0,,,1592334508000,392000
1592334509000,Esper,(sample),Prueba2(output),220900,30000,410000,410000,0,"9,22337203685478E+021",0,0,9,,,1592334509000,410000
1592334510000,Esper,(sample),Prueba2(output),230952,30000,432000,432000,0,"9,22337203685478E+021",0,0,0,,,1592334510000,432000
1592334511000,Esper,(sample),Prueba2(output),240909,30000,450000,450000,0,"9,22337203685478E+021",0,0,15,,,1592334511000,450000
1592334512000,Esper,(sample),Prueba2(output),250870,30000,470000,470000,0,"9,22337203685478E+021",0,0,0,,,1592334512000,470000
1592334513000,Esper,(sample),Prueba2(output),260917,30000,492000,492000,0,"9,22337203685478E+021",0,0,11,,,1592334513000,492000
1592334514000,Esper,(sample),Prueba2(output),270880,30000,510000,510000,0,"9,22337203685478E+021",0,0,0,,,1592334514000,510000
1592334515000,Esper,(sample),Prueba2(output),280923,30000,532000,532000,0,"9,22337203685478E+021",0,0,13,,,1592334515000,532000
1592334516000,Esper,(sample),Prueba2(output),290889,30000,550000,550000,0,"9,22337203685478E+021",0,0,0,,,1592334516000,550000
1592334517000,Esper,(sample),Prueba2(output),300857,30000,570000,570000,0,"9,22337203685478E+021",0,0,12,,,1592334517000,570000
1592334518000,Esper,(sample),Prueba2(output),310897,30000,592000,592000,0,"9,22337203685478E+021",0,0,0,,,1592334518000,592000
1592334519000,Esper,(sample),Prueba2(output),320867,30000,610000,610000,0,"9,22337203685478E+021",0,0,12,,,1592334519000,610000
1592334520000,Esper,(sample),Prueba2(output),331161,30000,640000,640000,0,"9,22337203685478E+021",0,0,0,,,1592334520000,640000
1592334521000,Esper,(sample),Prueba2(output),341406,30000,659000,659000,0,"9,22337203685478E+021",0,0,14,,,1592334521000,659000
1592334522000,Esper,(sample),Prueba2(output),351727,30000,682000,682000,0,"9,22337203685478E+021",0,0,0,,,1592334522000,682000
1592334523000,Esper,(sample),Prueba2(output),361941,30000,699000,699000,0,"9,22337203685478E+021",0,0,12,,,1592334523000,699000
1592334524000,Esper,(sample),Prueba2(output),372229,30000,722000,722000,0,"9,22337203685478E+021",0,0,0,,,1592334524000,722000
1592334525000,Esper,(sample),Prueba2(output),382444,30000,740000,740000,0,"9,22337203685478E+021",0,0,9,,,1592334525000,740000
1592334526000,Esper,(sample),Prueba2(output),392622,30000,759000,759000,0,"9,22337203685478E+021",0,0,0,,,1592334526000,759000
1592334527000,Esper,(sample),Prueba2(output),384263,30000,759000,75000,0,"9,22337203685478E+021",0,0,13,,,1592334527000,75000
1592334528000,Esper,(sample),Prueba2(output),374410,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334528000,0
1592334529000,Esper,(sample),Prueba2(output),365050,0,759000,0,0,"9,22337203685478E+021",0,0,8,,,1592334529000,0
1592334530000,Esper,(sample),Prueba2(output),356146,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334530000,0
1592334531000,Esper,(sample),Prueba2(output),347667,0,759000,0,0,"9,22337203685478E+021",0,0,8,,,1592334531000,0
1592334532000,Esper,(sample),Prueba2(output),339581,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334532000,0
1592334533000,Esper,(sample),Prueba2(output),331864,0,759000,0,0,"9,22337203685478E+021",0,0,19,,,1592334533000,0
1592334534000,Esper,(sample),Prueba2(output),324489,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334534000,0
1592334535000,Esper,(sample),Prueba2(output),317435,0,759000,0,0,"9,22337203685478E+021",0,0,9,,,1592334535000,0
1592334536000,Esper,(sample),Prueba2(output),310681,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334536000,0
1592334537000,Esper,(sample),Prueba2(output),304208,0,759000,0,0,"9,22337203685478E+021",0,0,22,,,1592334537000,0
1592334538000,Esper,(sample),Prueba2(output),298000,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334538000,0
1592334539000,Esper,(sample),Prueba2(output),292040,0,759000,0,0,"9,22337203685478E+021",0,0,10,,,1592334539000,0
1592334540000,Esper,(sample),Prueba2(output),286314,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334540000,0
1592334541000,Esper,(sample),Prueba2(output),280808,0,759000,0,0,"9,22337203685478E+021",0,0,15,,,1592334541000,0
1592334542000,Esper,(sample),Prueba2(output),275509,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334542000,0
1592334543000,Esper,(sample),Prueba2(output),270407,0,759000,0,0,"9,22337203685478E+021",0,0,7,,,1592334543000,0
1592334544000,Esper,(sample),Prueba2(output),265491,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334544000,0
1592334545000,Esper,(sample),Prueba2(output),260750,0,759000,0,0,"9,22337203685478E+021",0,0,6,,,1592334545000,0
1592334546000,Esper,(sample),Prueba2(output),256175,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334546000,0
1592334547000,Esper,(sample),Prueba2(output),251759,0,759000,0,0,"9,22337203685478E+021",0,0,13,,,1592334547000,0
1592334548000,Esper,(sample),Prueba2(output),247492,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334548000,0
1592334549000,Esper,(sample),Prueba2(output),243367,0,759000,0,0,"9,22337203685478E+021",0,0,31,,,1592334549000,0
1592334550000,Esper,(sample),Prueba2(output),239377,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334550000,0
1592334551000,Esper,(sample),Prueba2(output),235516,0,759000,0,0,"9,22337203685478E+021",0,0,16,,,1592334551000,0
1592334552000,Esper,(sample),Prueba2(output),231778,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334552000,0
1592334553000,Esper,(sample),Prueba2(output),228156,0,759000,0,0,"9,22337203685478E+021",0,0,6,,,1592334553000,0
1592334554000,Esper,(sample),Prueba2(output),224646,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334554000,0
1592334555000,Esper,(sample),Prueba2(output),221242,0,759000,0,0,"9,22337203685478E+021",0,0,23,,,1592334555000,0
1592334556000,Esper,(sample),Prueba2(output),217940,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334556000,0
1592334557000,Esper,(sample),Prueba2(output),214735,0,759000,0,0,"9,22337203685478E+021",0,0,10,,,1592334557000,0
1592334558000,Esper,(sample),Prueba2(output),211623,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334558000,0
1592334559000,Esper,(sample),Prueba2(output),208600,0,759000,0,0,"9,22337203685478E+021",0,0,8,,,1592334559000,0
1592334560000,Esper,(sample),Prueba2(output),205662,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334560000,0
1592334561000,Esper,(sample),Prueba2(output),202806,0,759000,0,0,"9,22337203685478E+021",0,0,14,,,1592334561000,0
1592334562000,Esper,(sample),Prueba2(output),200027,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334562000,0
1592334563000,Esper,(sample),Prueba2(output),197324,0,759000,0,0,"9,22337203685478E+021",0,0,9,,,1592334563000,0
1592334564000,Esper,(sample),Prueba2(output),194693,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334564000,0
1592334565000,Esper,(sample),Prueba2(output),192132,0,759000,0,0,"9,22337203685478E+021",0,0,8,,,1592334565000,0
1592334566000,Esper,(sample),Prueba2(output),189636,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334566000,0
1592334567000,Esper,(sample),Prueba2(output),187205,0,759000,0,0,"9,22337203685478E+021",0,0,12,,,1592334567000,0
1592334568000,Esper,(sample),Prueba2(output),184835,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334568000,0
1592334569000,Esper,(sample),Prueba2(output),182525,0,759000,0,0,"9,22337203685478E+021",0,0,11,,,1592334569000,0
1592334570000,Esper,(sample),Prueba2(output),180272,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334570000,0
1592334571000,Esper,(sample),Prueba2(output),178073,0,759000,0,0,"9,22337203685478E+021",0,0,28,,,1592334571000,0
1592334572000,Esper,(sample),Prueba2(output),175928,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334572000,0
1592334573000,Esper,(sample),Prueba2(output),173833,0,759000,0,0,"9,22337203685478E+021",0,0,10,,,1592334573000,0
1592334574000,Esper,(sample),Prueba2(output),171788,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334574000,0
1592334575000,Esper,(sample),Prueba2(output),169791,0,759000,0,0,"9,22337203685478E+021",0,0,12,,,1592334575000,0
1592334576000,Esper,(sample),Prueba2(output),167839,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334576000,0
1592334577000,Esper,(sample),Prueba2(output),165932,0,759000,0,0,"9,22337203685478E+021",0,0,4,,,1592334577000,0
1592334578000,Esper,(sample),Prueba2(output),164067,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334578000,0
1592334579000,Esper,(sample),Prueba2(output),162244,0,759000,0,0,"9,22337203685478E+021",0,0,7,,,1592334579000,0
1592334580000,Esper,(sample),Prueba2(output),160462,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334580000,0
1592334581000,Esper,(sample),Prueba2(output),158717,0,759000,0,0,"9,22337203685478E+021",0,0,24,,,1592334581000,0
1592334582000,Esper,(sample),Prueba2(output),157011,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334582000,0
1592334583000,Esper,(sample),Prueba2(output),155340,0,759000,0,0,"9,22337203685478E+021",0,0,3,,,1592334583000,0
1592334584000,Esper,(sample),Prueba2(output),153705,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334584000,0
1592334585000,Esper,(sample),Prueba2(output),152104,0,759000,0,0,"9,22337203685478E+021",0,0,14,,,1592334585000,0
1592334586000,Esper,(sample),Prueba2(output),150536,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334586000,0
1592334587000,Esper,(sample),Prueba2(output),149000,0,759000,0,0,"9,22337203685478E+021",0,0,15,,,1592334587000,0
1592334588000,Esper,(sample),Prueba2(output),147495,0,759000,0,0,"9,22337203685478E+021",0,0,0,,,1592334588000,0
