Timestamp,Siddhi,Avg_Throughput,,,
1599420505000,NO2_Avg(output),3936246,,,
1599420504000,NO2_Avg(output),3945754,,,
1599420503000,NO2_Avg(output),3955308,,,
1599420502000,NO2_Avg(output),3964908,,,
1599420501000,NO2_Avg(output),3974555,,,
1599420500000,NO2_Avg(output),3984249,,,
1599420499000,NO2_Avg(output),3993990,,,
1599420498000,NO2_Avg(output),4003779,,,
1599420497000,NO2_Avg(output),4013617,,,
1599420496000,NO2_Avg(output),4023502,,,
1599420495000,NO2_Avg(output),4033437,,,
1599420494000,NO2_Avg(output),4043421,,,
1599420493000,NO2_Avg(output),4053454,,,
1599420492000,NO2_Avg(output),4063537,,,
1599420491000,NO2_Avg(output),4073671,,,
1599420490000,NO2_Avg(output),4083855,,,
1599420489000,NO2_Avg(output),4094090,,,
1599420488000,NO2_Avg(output),4104377,,,
1599420487000,NO2_Avg(output),4114715,,,
1599420486000,NO2_Avg(output),4125106,,,
1599420485000,NO2_Avg(output),4135549,,,
1599420484000,NO2_Avg(output),4146046,,,
1599420483000,NO2_Avg(output),4156595,,,
1599420482000,NO2_Avg(output),4167199,,,
1599420481000,NO2_Avg(output),4177857,,,
1599420480000,NO2_Avg(output),4188569,,,
1599420479000,NO2_Avg(output),4199337,,,
1599420478000,NO2_Avg(output),4210160,,,
1599420477000,NO2_Avg(output),4221039,,,
1599420476000,NO2_Avg(output),4231974,,,
1599420475000,NO2_Avg(output),4242966,,,
1599420474000,NO2_Avg(output),4254016,,,
1599420473000,NO2_Avg(output),4265123,,,
1599420472000,NO2_Avg(output),4276288,,,
1599420471000,NO2_Avg(output),4287512,,,
1599420470000,NO2_Avg(output),4298795,,,
1599420469000,NO2_Avg(output),4310137,,,
1599420468000,NO2_Avg(output),4321540,,,
1599420467000,NO2_Avg(output),4333003,,,
1599420466000,NO2_Avg(output),4344527,,,
1599420465000,NO2_Avg(output),4356112,,,
1599420464000,NO2_Avg(output),4367759,,,
1599420463000,NO2_Avg(output),4379469,,,
1599420462000,NO2_Avg(output),4391242,,,
1599420461000,NO2_Avg(output),4403078,,,
1599420460000,NO2_Avg(output),4414978,,,
1599420459000,NO2_Avg(output),4426943,,,
1599420458000,NO2_Avg(output),4438973,,,
1599420457000,NO2_Avg(output),4451068,,,
1599420456000,NO2_Avg(output),4463230,,,
1599420455000,NO2_Avg(output),4475458,,,
1599420454000,NO2_Avg(output),4487753,,,
1599420453000,NO2_Avg(output),4500116,,,
1599420452000,NO2_Avg(output),4512547,,,
1599420332000,NO2_Avg(output),5526083,,,
1599420272000,NO2_Avg(output),6022341,,,
1599420212000,NO2_Avg(output),4981066,,,
1599420211000,NO2_Avg(output),5015322,,,
1599420210000,NO2_Avg(output),5057117,,,
1599420209000,NO2_Avg(output),5099613,,,
1599420208000,NO2_Avg(output),5142831,,,
1599420207000,NO2_Avg(output),5186786,,,
1599420206000,NO2_Avg(output),5231500,,,
1599420205000,NO2_Avg(output),5276991,,,
1599420204000,NO2_Avg(output),5323281,,,
1599420203000,NO2_Avg(output),5370389,,,
1599420202000,NO2_Avg(output),5418339,,,
1599420201000,NO2_Avg(output),5467153,,,
1599420200000,NO2_Avg(output),5516855,,,
1599420199000,NO2_Avg(output),5567468,,,
1599420198000,NO2_Avg(output),5619019,,,
1599420197000,NO2_Avg(output),5671533,,,
1599420196000,NO2_Avg(output),5725038,,,
1599420195000,NO2_Avg(output),5779562,,,
1599420194000,NO2_Avg(output),5835135,,,
1599420193000,NO2_Avg(output),5891786,,,
1599420192000,NO2_Avg(output),5949549,,,
1599420191000,NO2_Avg(output),6008455,,,
1599420190000,NO2_Avg(output),6068540,,,
